Participant_ID,Gender,Ethnicity,Language_Status,Father_education_30,Father_education_lang_30,Mother_education_30,Mother_education_lang_30,Chronological_age_30,Input_percent_Eng_home_30,Chronological_age_36,Input_percent_Eng_home_36,Chronological_age_42,Input_percent_Eng_home_42,Chronological_age_48,Input_percent_Eng_home_48
R2130Mo028,0,2,1,3,2,4,2,30.0,20.0,-997.0,-997,42.73,10,48.5,30
R2130Mo031,0,2,1,5,1,4,2,30.57,15.0,-997.0,-997,42.6,25,-997.0,-997
R2130Mo032,0,2,1,5,1,5,2,30.73,60.0,-997.0,-997,42.57,75,48.27,49
R2130Mo033,1,2,1,5,1,4,2,30.77,20.0,-997.0,-997,41.8,30,47.8,25
R2130Mo035,0,2,1,2,1,3,1,30.83,50.0,-997.0,-997,42.77,65,48.57,50
R2130Mo036,1,2,1,3,1,3,1,30.6,50.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo037,1,2,1,2,2,2,2,30.43,80.0,-997.0,-997,-997.0,-997,47.77,70
R2130Mo038,1,2,1,4,2,4,2,30.37,20.0,-997.0,-997,42.03,55,47.83,30
R2130Mo039,1,2,1,3,1,3,2,30.6,20.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo040,0,3,1,4,1,3,1,30.47,50.0,-997.0,-997,42.0,65,48.5,70
R2130Mo041,1,2,1,3,2,4,1,30.6,10.0,-997.0,-997,-997.0,-997,48.23,25
R2130Mo042,1,2,1,2,1,4,1,30.8,20.0,-997.0,-997,-997.0,-997,48.3,0
R2130Mo043,0,2,1,4,1,5,1,30.07,80.0,-997.0,-997,42.57,100,48.3,100
R2130Mo044,1,2,1,4,1,4,1,30.3,70.0,-997.0,-997,42.8,80,48.17,60
R2130Mo045,0,2,1,2,2,2,2,29.73,0.0,-997.0,-997,42.77,20,48.77,20
R2130Mo046,0,2,1,4,1,3,1,30.27,40.0,-997.0,-997,-997.0,-997,48.27,40
R2130Mo047,0,2,1,5,1,5,1,30.17,30.0,-997.0,-997,42.3,50,47.8,30
R2130Mo048,0,2,1,4,2,4,2,30.77,0.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo049,0,2,1,4,2,4,2,30.1,20.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo050,0,4,1,3,2,3,1,29.83,70.0,-997.0,-997,42.43,80,47.9,90
R2130Mo052,0,2,1,3,1,3,1,30.63,50.0,-997.0,-997,42.17,50,48.1,50
R2130Mo053,1,2,1,5,2,5,2,30.5,50.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo054,0,2,1,2,1,2,2,30.67,50.0,-997.0,-997,42.83,50,48.33,20
