item,itemID,type,choices,complexity_category,definition,gloss
chicken,item_92,ANIMALS (Real or toy),produces; doesn't produce,,chicken,chicken
sioráf,item_93,ANIMALS (Real or toy),produces; doesn't produce,,sioráf,giraffe
giraffe,item_94,ANIMALS (Real or toy),produces; doesn't produce,,giraffe,giraffe
spideog,item_95,ANIMALS (Real or toy),produces; doesn't produce,,spideog,robin
robin,item_96,ANIMALS (Real or toy),produces; doesn't produce,,robin,robin
teidí,item_97,ANIMALS (Real or toy),produces; doesn't produce,,teidí_teddybear,bear
tíogar,item_98,ANIMALS (Real or toy),produces; doesn't produce,,tíogar,tiger
tiger,item_99,ANIMALS (Real or toy),produces; doesn't produce,,tiger,tiger
turcaí,item_100,ANIMALS (Real or toy),produces; doesn't produce,,turcaí_turkey,turkey
uan,item_101,ANIMALS (Real or toy),produces; doesn't produce,,uan,lamb
lamb,item_102,ANIMALS (Real or toy),produces; doesn't produce,,lamb,lamb
bád,item_103,VEHICLES (Real or toy),produces; doesn't produce,,bád,baot
boat,item_104,VEHICLES (Real or toy),produces; doesn't produce,,boat,boat
busie,item_105,VEHICLES (Real or toy),produces; doesn't produce,,busie,busie
carr,item_106,VEHICLES (Real or toy),produces; doesn't produce,,carr_mótar_gluaisteán,car
car,item_107,VEHICLES (Real or toy),produces; doesn't produce,,car,car
eitleán,item_108,VEHICLES (Real or toy),produces; doesn't produce,,eitleán,aeroplane
aeroplane,item_109,VEHICLES (Real or toy),produces; doesn't produce,,aeroplane,aeroplane
gluaisrothar,item_110,VEHICLES (Real or toy),produces; doesn't produce,,gluaisrothar,motorbike
motorbike,item_111,VEHICLES (Real or toy),produces; doesn't produce,,motorbike,motorbike
héileacaptar,item_112,VEHICLES (Real or toy),produces; doesn't produce,,héileacaptar_helicopter,helicopter
jeepie,item_113,VEHICLES (Real or toy),produces; doesn't produce,,jeepie,jeepie
leoraí,item_114,VEHICLES (Real or toy),produces; doesn't produce,,leoraí_lorry,long
long,item_115,VEHICLES (Real or toy),produces; doesn't produce,,long,long
ship,item_116,VEHICLES (Real or toy),produces; doesn't produce,,ship,ship
otharcharr,item_117,VEHICLES (Real or toy),produces; doesn't produce,,otharcharr,ambulance
ambulance,item_118,VEHICLES (Real or toy),produces; doesn't produce,,ambulance,ambulance
pram,item_119,VEHICLES (Real or toy),produces; doesn't produce,,pram_buggy_bugaí,pram
rothar,item_120,VEHICLES (Real or toy),produces; doesn't produce,,rothar,bike
