child_ID,age,input_words,words_known,sample_size,words_know(regularization),bilingual
HDPM066,30.0,18750000.0,320.0,558.0,439.3,1
HDPM068,30.0,18750000.0,249.5,558.0,342.5,1
HDPM069,30.0,18750000.0,254.5,558.0,349.4,1
HDPM070,30.0,18750000.0,330.5,558.0,453.7,1
HDPM071,30.0,18750000.0,371.5,557.0,510.9,1
HDPM072,30.0,18750000.0,504.0,558.0,691.9,1
HDPM076,30.0,18750000.0,336.0,558.0,461.2,1
HDPM077,30.0,18750000.0,83.5,558.0,114.6,1
HDPM078,30.0,18750000.0,57.0,558.0,78.2,1
HDPM079,30.0,18750000.0,186.5,558.0,256.0,1
HDPM080,30.0,18750000.0,374.5,558.0,514.1,1
HDPM081,30.0,18750000.0,64.0,558.0,87.9,1
HDPM082,30.0,18750000.0,210.5,558.0,289.0,1
HDPM083,30.0,18750000.0,257.5,558.0,353.5,1
HDPM084,30.0,18750000.0,325.0,558.0,446.1,1
HDPM085,30.0,18750000.0,467.5,558.0,641.8,1
HDPM086,30.0,18750000.0,58.5,558.0,80.3,1
HDPM087,30.0,18750000.0,307.5,558.0,422.1,1
HDPM088,30.0,18750000.0,389.0,558.0,534.0,1
HDPM091,30.0,18750000.0,308.5,558.0,423.5,1
HDPM092,30.0,18750000.0,45.0,558.0,61.8,1
HDPM093,30.0,18750000.0,202.5,557.0,278.5,1
HDPM094,30.0,18750000.0,103.5,558.0,142.1,1
HDPM097,30.0,18750000.0,125.5,558.0,172.3,1
HDPM098,30.0,18750000.0,297.5,558.0,408.4,1
HDPM099,30.0,18750000.0,498.5,558.0,684.3,1
HDPM100,30.0,18750000.0,448.0,558.0,615.0,1
HDPM131,30.0,18750000.0,494.5,558.0,678.8,1
HDPM132,30.0,18750000.0,37.5,558.0,51.5,1
HDPM133,30.0,18750000.0,210.5,558.0,289.0,1
HDPM134,30.0,18750000.0,436.0,558.0,598.5,1
HDPM135,30.0,18750000.0,314.5,558.0,431.7,1
HDPM136,30.0,18750000.0,24.5,558.0,33.6,1
HDPM137,30.0,18750000.0,34.0,558.0,46.7,1
HDPM138,30.0,18750000.0,507.0,558.0,696.0,1
HDPM052,22.0,13750000.0,545.0,558.0,748.2,1
HDPM054,22.0,13750000.0,228.5,558.0,313.7,1
HDPM056,22.0,13750000.0,215.0,558.0,295.1,1
HDPM057,22.0,13750000.0,226.5,558.0,310.9,1
HDPM058,22.0,13750000.0,165.0,558.0,226.5,1
HDPM059,22.0,13750000.0,62.5,558.0,85.8,1
HDPM060????,22.0,13750000.0,257.5,558.0,353.5,1
HDPM061,22.0,13750000.0,491.0,558.0,674.0,1
HDPM062,22.0,13750000.0,159.5,558.0,219.0,1
HDPM063,22.0,13750000.0,301.0,558.0,413.2,1
HDPM064,22.0,13750000.0,493.0,558.0,676.8,1
HDPM065,22.0,13750000.0,428.0,558.0,587.5,1
HDPM066,22.0,13750000.0,320.0,558.0,439.3,1
HDPM068,22.0,13750000.0,249.5,558.0,342.5,1
HDPM069,22.0,13750000.0,254.5,558.0,349.4,1
HDPM070,22.0,13750000.0,330.5,558.0,453.7,1
HDPM071,22.0,13750000.0,371.5,557.0,510.9,1
HDPM072,22.0,13750000.0,504.0,558.0,691.9,1
HDPM076,22.0,13750000.0,336.0,558.0,461.2,1
HDPM077,22.0,13750000.0,83.5,558.0,114.6,1
