,word,category,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_40,age_41,age_42,age_43,age_45,age_47,age_48
12,climb,action_words,0.0,0.0,0.03,0.0,0.0,0.2,0.04,0.14,0.23,0.0,0.1,0.46,0.24,0.24,0.26,0.35,0.2,0.55,0.39,0.32,0.67,0.0,0.66,1.0,0.5,1.0,0.66
13,close,action_words,0.25,0.04,0.06,0.12,0.0,0.21,0.21,0.18,0.23,0.18,0.32,0.43,0.28,0.5,0.52,0.62,0.26,0.37,0.82,0.27,0.67,0.0,1.0,1.0,0.5,1.0,
14,cook,action_words,0.0,0.0,0.03,0.0,0.0,0.15,0.08,0.14,0.24,0.15,0.21,0.46,0.13,0.49,0.33,0.36,0.0,0.07,0.76,0.38,0.33,0.0,0.86,1.0,0.5,1.0,0.72
15,cover,action_words,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.04,0.18,0.15,0.06,0.3,0.36,0.16,0.18,0.39,0.0,0.35,0.76,0.25,0.33,0.0,0.64,1.0,0.5,1.0,0.61
16,cry,action_words,0.0,0.62,0.09,0.12,0.0,0.38,0.24,0.26,0.38,0.21,0.26,0.6,0.56,0.42,0.61,0.66,0.26,0.6,0.76,0.57,0.67,0.0,0.94,1.0,1.0,1.0,0.89
17,cut,action_words,0.25,0.0,0.03,0.0,0.0,0.17,0.1,0.06,0.22,0.12,0.11,0.37,0.18,0.27,0.4,0.57,0.1,0.55,0.62,0.5,0.33,0.0,0.89,1.0,0.5,1.0,0.78
18,dance,action_words,0.0,0.0,0.09,0.12,0.11,0.33,0.27,0.31,0.49,0.23,0.21,0.59,0.56,0.62,0.52,0.6,0.26,0.6,0.45,0.48,0.67,0.0,0.95,0.5,0.5,1.0,0.9
19,draw,action_words,0.0,0.0,0.06,0.0,0.0,0.17,0.12,0.16,0.24,0.12,0.21,0.46,0.49,0.21,0.34,0.5,0.1,0.22,0.76,0.46,0.33,0.0,0.49,0.5,0.5,1.0,0.65
20,drink2,action_words,0.0,0.08,0.18,0.0,0.0,0.44,0.44,0.17,0.56,0.22,0.44,0.44,0.36,0.64,0.59,0.36,0.0,1.0,1.0,0.44,,,0.87,,,,0.87
21,drive,action_words,0.0,0.0,0.02,0.06,0.0,0.02,0.08,0.06,0.07,0.0,0.1,0.26,0.2,0.14,0.19,0.32,0.15,0.21,0.38,0.2,0.67,0.0,1.0,0.5,0.5,1.0,
22,drop,action_words,0.0,0.08,0.06,0.0,0.0,0.16,0.14,0.08,0.31,0.2,0.11,0.41,0.02,0.26,0.32,0.25,0.0,0.0,0.25,0.39,0.33,0.0,0.45,1.0,0.5,1.0,0.57
23,dry1,action_words,0.0,0.0,0.03,0.0,0.0,0.04,0.1,0.06,0.17,0.06,0.06,0.27,0.14,0.28,0.32,0.38,0.1,0.08,0.17,0.23,0.33,0.0,0.66,1.0,0.5,1.0,0.65
24,dump,action_words,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.03,0.13,0.0,0.11,0.44,0.07,0.11,0.04,0.1,0.0,0.0,0.0,0.18,0.0,0.0,0.17,0.5,0.0,1.0,0.34
25,eat,action_words,0.0,0.05,0.06,0.0,0.0,0.08,0.08,0.13,0.2,0.12,0.14,0.22,0.18,0.23,0.19,0.28,0.07,0.21,0.2,0.12,0.67,0.0,0.98,1.0,1.0,1.0,0.95
26,fall,action_words,0.0,0.04,0.03,0.0,0.0,0.14,0.1,0.13,0.24,0.1,0.09,0.32,0.26,0.25,0.21,0.44,0.12,0.54,0.15,0.18,0.67,0.0,0.88,1.0,1.0,1.0,0.77
