child_ID,count,unique,top,freq
R01ED411_30.0,558.0,3.0,0.0,438.0
R01ED414_30.0,558.0,3.0,0.0,344.0
R01ED416_30.0,558.0,2.0,0.0,415.0
R01ED419_30.0,558.0,3.0,0.0,410.0
R01ED420_30.0,558.0,3.0,1.0,523.0
R01ED421_30.0,558.0,3.0,1.0,533.0
R01ED422_30.0,558.0,3.0,1.0,434.0
R01ED423_30.0,558.0,3.0,1.0,316.0
R01ED424_30.0,558.0,3.0,1.0,395.0
R01ED429_30.0,558.0,3.0,1.0,400.0
R01ED432_30.0,558.0,3.0,1.0,414.0
R01ED435_30.0,558.0,3.0,1.0,329.0
R01ED436_30.0,558.0,3.0,1.0,522.0
R01ED439_30.0,558.0,3.0,0.0,395.0
R01ED440_30.0,558.0,3.0,1.0,359.0
R01ED441_30.0,558.0,3.0,0.0,444.0
R01ED443_30.0,558.0,3.0,1.0,406.0
R01ED448_30.0,558.0,3.0,1.0,494.0
R01ED449_30.0,558.0,3.0,1.0,520.0
R01ED450_30.0,558.0,3.0,0.0,341.0
R01ED453_30.0,558.0,3.0,1.0,489.0
R01ED454_30.0,558.0,3.0,1.0,389.0
R01ED459_30.0,558.0,3.0,1.0,521.0
R2130Mo008_30.0,558.0,2.0,0.0,478.0
R2130Mo013_30.0,558.0,3.0,1.0,456.0
R2130Mo014_30.0,558.0,3.0,1.0,501.0
R2130Mo015_30.0,558.0,2.0,1.0,520.0
R2130Mo020_30.0,558.0,3.0,1.0,503.0
R2130Mo021_30.0,558.0,3.0,0.0,371.0
R2130Mo027_30.0,558.0,3.0,1.0,449.0
R2130Mo032_30.0,558.0,3.0,1.0,484.0
R2130Mo033_30.0,558.0,3.0,1.0,475.0
R2130Mo035_30.0,558.0,2.0,1.0,502.0
R2130Mo037_30.0,558.0,3.0,0.0,449.0
R2130Mo038_30.0,558.0,3.0,1.0,524.0
R2130Mo040_30.0,558.0,3.0,1.0,526.0
R2130Mo041_30.0,558.0,3.0,1.0,436.0
R2130Mo043_30.0,558.0,3.0,1.0,546.0
R2130Mo044_30.0,558.0,3.0,1.0,529.0
R2130Mo045_30.0,558.0,3.0,0.0,307.0
R2130Mo046_30.0,558.0,3.0,1.0,501.0
R2130Mo047_30.0,558.0,3.0,1.0,531.0
R2130Mo050_30.0,558.0,3.0,1.0,513.0
R2130Mo052_30.0,558.0,3.0,1.0,511.0
R2130Mo054_30.0,558.0,3.0,1.0,534.0
R2130Mo055_30.0,558.0,3.0,1.0,445.0
R2130Mo056_30.0,558.0,3.0,1.0,472.0
