,age_21,age_22,age_23,age_24,age_25,age_26
wash,0.0,0.5,0.44,0.35,0.55,0.0
watch.1,0.0,0.0,0.25,0.24,0.27,0.0
wipe,0.0,0.0,0.19,0.18,0.18,0.0
wish,0.0,0.0,0.06,0.12,0.18,0.0
work ,0.0,0.0,0.19,0.24,0.18,0.0
write,0.0,0.0,0.12,0.12,0.09,0.0
allgone,0.5,0.25,0.44,0.65,0.64,0.0
asleep,0.0,0.25,0.19,0.35,0.36,0.0
awake,0.0,0.0,0.06,0.24,0.18,0.0
bad,0.0,0.25,0.12,0.41,0.45,0.0
better,0.0,0.25,0.12,0.12,0.09,0.0
big,0.0,0.75,0.38,0.41,0.36,0.0
black,0.0,0.0,0.25,0.24,0.09,0.0
blue,0.5,0.0,0.5,0.65,0.45,0.0
broken,0.0,0.25,0.38,0.35,0.45,0.0
brown,0.0,0.0,0.06,0.12,0.09,0.0
careful,0.0,0.0,0.25,0.29,0.36,0.0
clean.1,0.0,0.25,0.31,0.29,0.36,0.0
cold,0.0,0.25,0.44,0.53,0.64,0.0
cute,0.0,0.25,0.12,0.24,0.36,0.0
dark,0.0,0.0,0.12,0.12,0.09,0.0
dirty,0.0,0.25,0.38,0.53,0.55,0.0
dry.1,0.0,0.0,0.12,0.12,0.27,0.0
empty,0.0,0.25,0.19,0.24,0.36,0.0
fast,0.0,0.0,0.19,0.18,0.27,0.0
fine,0.0,0.0,0.12,0.18,0.0,0.0
first,0.0,0.0,0.19,0.12,0.09,0.0
full,0.0,0.25,0.12,0.12,0.09,0.0
gentle,0.0,0.25,0.38,0.29,0.45,0.0
good,0.0,0.0,0.31,0.35,0.45,0.0
green,0.0,0.0,0.44,0.47,0.27,0.0
happy,0.0,0.25,0.38,0.29,0.36,0.0
hard,0.0,0.0,0.31,0.18,0.18,0.0
heavy,0.0,0.0,0.19,0.35,0.18,0.0
high,0.0,0.0,0.12,0.29,0.27,0.0
hot,0.5,0.5,0.56,0.65,0.73,0.0
hungry,0.0,0.0,0.19,0.35,0.27,0.0
hurt,0.0,0.0,0.25,0.35,0.18,0.0
last,0.0,0.0,0.06,0.06,0.0,0.0
little,0.0,0.25,0.19,0.29,0.18,0.0
long,0.0,0.0,0.06,0.06,0.0,0.0
loud,0.0,0.0,0.06,0.12,0.18,0.0
mad,0.0,0.25,0.12,0.12,0.09,0.0
naughty,0.0,0.0,0.06,0.06,0.18,0.0
new,0.0,0.0,0.06,0.18,0.18,0.0
nice,0.5,0.5,0.31,0.29,0.36,1.0
noisy,0.0,0.0,0.12,0.18,0.18,0.0
old,0.0,0.0,0.06,0.18,0.0,0.0
orange.1,0.0,0.25,0.38,0.41,0.64,0.0
poor,0.0,0.0,0.06,0.06,0.0,0.0
pretty,0.0,0.0,0.25,0.29,0.18,0.0
quiet,0.0,0.0,0.12,0.24,0.27,0.0
red,0.0,0.25,0.44,0.35,0.36,0.0
sad,0.0,0.0,0.06,0.18,0.18,0.0
scared,0.0,0.0,0.19,0.18,0.18,0.0
sick,0.0,0.0,0.12,0.18,0.18,0.0
sleepy,0.0,0.25,0.19,0.24,0.27,0.0
slow,0.0,0.0,0.06,0.12,0.09,0.0
soft,0.5,0.0,0.25,0.18,0.18,0.0
sticky,0.0,0.0,0.06,0.18,0.36,0.0
stuck,0.0,0.0,0.19,0.29,0.18,0.0
thirsty,0.0,0.0,0.19,0.24,0.18,0.0
tiny,0.0,0.25,0.12,0.12,0.0,0.0
tired,0.0,0.25,0.25,0.24,0.27,0.0
wet,0.0,0.25,0.25,0.41,0.27,0.0
white,0.0,0.0,0.31,0.18,0.09,0.0
windy,0.0,0.0,0.12,0.12,0.18,0.0
yellow,0.5,0.0,0.38,0.47,0.27,0.0
yucky,0.0,0.25,0.38,0.53,0.45,0.0
after,0.0,0.25,0.25,0.29,0.36,0.0
before,0.0,0.0,0.19,0.06,0.09,0.0
day,0.0,0.0,0.12,0.06,0.18,0.0
later,0.0,0.0,0.19,0.06,0.09,0.0
morning,0.0,0.25,0.12,0.24,0.36,0.0
night,0.0,0.0,0.25,0.24,0.27,0.0
now,0.0,0.0,0.31,0.41,0.27,0.0
time,0.0,0.0,0.19,0.06,0.0,0.0
today,0.0,0.25,0.12,0.06,0.0,0.0
tomorrow,0.0,0.25,0.19,0.06,0.09,0.0
tonight,0.0,0.0,0.25,0.12,0.0,0.0
yesterday,0.0,0.0,0.06,0.0,0.0,0.0
he,0.0,0.0,0.06,0.06,0.09,0.0
her,0.0,0.0,0.06,0.06,0.0,0.0
hers,0.0,0.0,0.12,0.06,0.0,0.0
him,0.0,0.0,0.06,0.0,0.0,0.0
his,0.0,0.0,0.12,0.0,0.09,0.0
I ,0.0,0.0,0.25,0.12,0.27,0.0
it,0.0,0.0,0.12,0.12,0.18,0.0
me,0.0,0.0,0.31,0.47,0.36,1.0
mine ,0.5,0.5,0.5,0.71,0.73,0.0
my,0.0,0.0,0.19,0.41,0.36,0.0
myself,0.0,0.0,0.06,0.06,0.0,0.0
our ,0.0,0.0,0.06,0.0,0.0,0.0
she,0.0,0.25,0.12,0.0,0.09,0.0
that,0.5,0.0,0.25,0.41,0.45,0.0
their,0.0,0.0,0.06,0.06,0.0,0.0
them,0.0,0.0,0.06,0.0,0.0,0.0
these,0.0,0.0,0.06,0.06,0.09,0.0
they,0.0,0.0,0.06,0.0,0.0,0.0
this,0.5,0.25,0.31,0.35,0.27,0.0
those ,0.0,0.0,0.06,0.0,0.0,0.0
us,0.0,0.0,0.06,0.0,0.0,0.0
we ,0.0,0.0,0.12,0.0,0.0,0.0
you,0.0,0.0,0.25,0.18,0.18,0.0
your,0.0,0.0,0.19,0.0,0.09,0.0
yourself,0.0,0.0,0.06,0.0,0.0,0.0
how,0.0,0.0,0.06,0.12,0.0,0.0
what,0.0,0.25,0.31,0.29,0.18,0.0
when,0.0,0.0,0.06,0.06,0.0,0.0
where,0.0,0.25,0.31,0.35,0.18,0.0
which,0.0,0.0,0.06,0.0,0.0,0.0
who ,0.0,0.25,0.06,0.12,0.09,0.0
why,0.0,0.0,0.19,0.12,0.0,0.0
about,0.0,0.0,0.06,0.0,0.0,0.0
above,0.0,0.0,0.06,0.0,0.09,0.0
around,0.0,0.0,0.06,0.12,0.18,0.0
at,0.0,0.0,0.06,0.12,0.0,0.0
away,0.0,0.25,0.19,0.12,0.18,0.0
back,0.0,0.25,0.19,0.18,0.36,0.0
behind,0.0,0.0,0.12,0.12,0.18,0.0
beside,0.0,0.0,0.06,0.12,0.18,0.0
by,0.0,0.0,0.06,0.06,0.09,0.0
down,0.0,0.25,0.31,0.41,0.64,0.0
for ,0.0,0.0,0.06,0.12,0.09,0.0
here,0.0,0.25,0.25,0.24,0.27,0.0
inside/in,0.0,0.0,0.31,0.24,0.27,0.0
into,0.0,0.0,0.06,0.12,0.09,0.0
next to,0.0,0.0,0.12,0.06,0.0,0.0
of ,0.0,0.0,0.06,0.06,0.0,0.0
off,0.0,0.0,0.25,0.24,0.36,0.0
on,0.0,0.0,0.25,0.24,0.36,0.0
on top of,0.0,0.0,0.06,0.12,0.27,0.0
out,0.0,0.0,0.12,0.29,0.36,0.0
over ,0.0,0.25,0.06,0.12,0.18,0.0
there,0.5,0.25,0.31,0.29,0.27,0.0
to,0.0,0.0,0.06,0.12,0.18,0.0
under ,0.0,0.25,0.12,0.06,0.27,0.0
up,0.0,0.25,0.19,0.53,0.55,1.0
with,0.0,0.0,0.12,0.12,0.18,0.0
a,0.0,0.25,0.0,0.12,0.18,0.0
all,0.0,0.25,0.12,0.18,0.18,0.0
a lot,0.0,0.0,0.25,0.06,0.09,0.0
an,0.0,0.0,0.06,0.0,0.0,0.0
another,0.0,0.0,0.31,0.18,0.0,0.0
any,0.0,0.0,0.0,0.06,0.09,0.0
each,0.0,0.0,0.06,0.0,0.0,0.0
every,0.0,0.0,0.06,0.06,0.0,0.0
more,0.0,0.75,0.5,0.71,0.64,0.0
much,0.0,0.0,0.06,0.06,0.09,0.0
not ,0.0,0.0,0.12,0.12,0.09,0.0
none,0.0,0.0,0.12,0.12,0.09,0.0
other,0.0,0.0,0.06,0.12,0.0,0.0
same,0.0,0.0,0.25,0.12,0.0,0.0
some ,0.0,0.25,0.19,0.12,0.27,0.0
the,0.0,0.0,0.12,0.06,0.0,0.0
too,0.0,0.0,0.12,0.18,0.18,0.0
am,0.0,0.25,0.0,0.06,0.0,0.0
are,0.0,0.0,0.06,0.06,0.0,0.0
be,0.0,0.25,0.06,0.06,0.0,0.0
can,0.0,0.25,0.19,0.12,0.0,0.0
could,0.0,0.0,0.06,0.06,0.0,0.0
did/did ya,0.0,0.0,0.19,0.06,0.0,0.0
do,0.0,0.25,0.12,0.35,0.18,0.0
does,0.0,0.0,0.12,0.0,0.0,0.0
don't,0.0,0.0,0.12,0.12,0.27,0.0
gonna/going to,0.0,0.25,0.12,0.18,0.09,0.0
gotta/got to,0.0,0.0,0.06,0.06,0.09,0.0
hafta/have to ,0.0,0.0,0.06,0.06,0.18,0.0
is,0.0,0.0,0.25,0.06,0.0,0.0
lemme/let me,0.0,0.0,0.0,0.12,0.09,0.0
need/need to,0.0,0.25,0.06,0.0,0.18,0.0
try/try to,0.0,0.0,0.06,0.06,0.09,0.0
wanna/want to ,0.0,0.0,0.12,0.24,0.18,0.0
was,0.0,0.0,0.0,0.0,0.0,0.0
were,0.0,0.0,0.06,0.06,0.0,0.0
will ,0.0,0.0,0.0,0.06,0.0,0.0
would,0.0,0.0,0.0,0.0,0.0,0.0
and,0.0,0.0,0.06,0.0,0.18,0.0
because,0.0,0.0,0.06,0.06,0.09,0.0
but,0.0,0.0,0.06,0.06,0.0,0.0
if,0.0,0.0,0.06,0.06,0.0,0.0
so,0.0,0.0,0.06,0.06,0.0,0.0
then,0.0,0.0,0.0,0.0,0.0,0.0
