,age_21,age_22,age_23,age_24,age_25,age_26
mouth,0.5,0.5,0.44,0.59,0.55,0.0
nose,0.5,0.5,0.75,0.76,0.64,0.0
owie/boo boo,0.5,0.25,0.56,0.53,0.64,0.0
penis,0.5,0.5,0.12,0.29,0.27,0.0
shoulder,0.0,0.25,0.12,0.19,0.09,0.0
tooth,0.5,0.0,0.44,0.47,0.45,0.0
toe,0.5,0.25,0.25,0.47,0.45,0.0
tongue,0.5,0.0,0.31,0.29,0.18,0.0
tummy,0.5,0.5,0.31,0.47,0.36,0.0
vagina,0.0,0.0,0.12,0.18,0.18,0.0
basket,0.0,0.0,0.25,0.18,0.18,0.0
blanket,0.0,0.25,0.5,0.65,0.45,0.0
bottle,0.0,0.75,0.31,0.53,0.55,0.0
box,0.0,0.0,0.31,0.29,0.18,0.0
bowl,0.0,0.25,0.31,0.47,0.27,0.0
broom,0.5,0.0,0.19,0.18,0.27,0.0
brush ,0.5,0.0,0.44,0.35,0.45,0.0
bucket,0.0,0.0,0.19,0.35,0.18,0.0
camera,0.0,0.25,0.25,0.24,0.27,0.0
can ,0.0,0.0,0.12,0.12,0.09,0.0
clock,0.0,0.0,0.38,0.24,0.27,0.0
comb,0.0,0.0,0.19,0.29,0.18,0.0
cup,0.0,0.5,0.38,0.53,0.64,0.0
dish,0.0,0.25,0.12,0.24,0.09,0.0
fork,0.0,0.0,0.25,0.53,0.45,0.0
garbage,0.0,0.0,0.25,0.53,0.55,0.0
glass,0.0,0.0,0.25,0.24,0.27,0.0
glasses,0.0,0.0,0.25,0.29,0.27,0.0
hammer,0.0,0.0,0.06,0.24,0.18,0.0
jar,0.0,0.0,0.06,0.12,0.09,0.0
keys,0.5,0.5,0.44,0.76,0.73,0.0
knife,0.0,0.0,0.19,0.35,0.09,0.0
lamp,0.0,0.25,0.12,0.18,0.18,0.0
light,0.0,0.25,0.44,0.53,0.36,0.0
medicine,0.0,0.0,0.12,0.18,0.0,0.0
money,0.0,0.25,0.12,0.24,0.18,0.0
mop,0.0,0.0,0.06,0.12,0.27,0.0
nail,0.0,0.0,0.06,0.12,0.0,0.0
napkin,0.0,0.0,0.19,0.12,0.27,0.0
paper,0.0,0.0,0.38,0.35,0.45,0.0
penny,0.0,0.0,0.19,0.12,0.09,0.0
picture,0.0,0.0,0.31,0.29,0.36,0.0
pillow,0.0,0.0,0.25,0.29,0.36,0.0
plant,0.0,0.0,0.12,0.18,0.27,0.0
plate,0.0,0.25,0.31,0.18,0.27,0.0
purse,0.0,0.0,0.19,0.24,0.18,0.0
radio,0.0,0.25,0.19,0.24,0.18,0.0
scissors,0.0,0.0,0.19,0.24,0.09,0.0
soap,0.0,0.0,0.31,0.53,0.55,0.0
spoon,0.0,0.0,0.62,0.82,0.73,0.0
tape,0.0,0.0,0.06,0.24,0.09,0.0
telephone,0.0,0.5,0.56,0.71,0.64,0.0
tissue/kleenex,0.0,0.0,0.31,0.29,0.27,0.0
toothbrush,0.0,0.0,0.44,0.47,0.45,0.0
towel,0.0,0.0,0.31,0.35,0.27,0.0
trash,0.0,0.25,0.19,0.18,0.09,0.0
tray,0.0,0.0,0.06,0.06,0.09,0.0
vacuum,0.0,0.25,0.25,0.29,0.18,0.0
walker,0.0,0.0,0.06,0.12,0.0,0.0
watch,0.0,0.0,0.25,0.29,0.18,0.0
basement,0.0,0.25,0.12,0.06,0.18,0.0
bathroom,0.0,0.25,0.31,0.35,0.36,0.0
bathtub,0.0,0.0,0.25,0.47,0.36,0.0
bed,0.0,0.0,0.38,0.76,0.73,0.0
bedroom,0.0,0.0,0.19,0.24,0.18,0.0
bench,0.0,0.0,0.12,0.06,0.09,0.0
chair,0.0,0.25,0.5,0.65,0.55,0.0
closet,0.0,0.0,0.19,0.18,0.09,0.0
couch,0.0,0.0,0.31,0.24,0.18,0.0
crib,0.0,0.0,0.06,0.18,0.27,0.0
door,0.0,0.5,0.44,0.65,0.45,0.0
drawer,0.0,0.25,0.19,0.18,0.18,0.0
dryer,0.0,0.0,0.19,0.12,0.09,0.0
garage,0.0,0.0,0.19,0.24,0.18,0.0
high chair,0.0,0.0,0.19,0.24,0.09,0.0
kitchen,0.0,0.25,0.31,0.29,0.36,0.0
living room,0.0,0.0,0.12,0.18,0.18,0.0
oven,0.0,0.0,0.25,0.12,0.27,0.0
play pen,0.0,0.0,0.12,0.18,0.09,0.0
porch,0.0,0.0,0.12,0.06,0.09,0.0
potty,0.0,0.0,0.31,0.35,0.18,0.0
refrigerator,0.0,0.25,0.25,0.18,0.18,0.0
rocking chair,0.0,0.0,0.06,0.12,0.09,0.0
room,0.0,0.25,0.25,0.18,0.27,0.0
shower,0.0,0.25,0.31,0.53,0.27,0.0
sink,0.0,0.0,0.12,0.18,0.18,0.0
sofa,0.0,0.0,0.25,0.12,0.18,0.0
stairs,0.0,0.0,0.31,0.29,0.36,0.0
stove,0.0,0.0,0.19,0.12,0.18,0.0
table,0.0,0.0,0.31,0.29,0.55,0.0
