,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36
child_id,"['JM17M039', 'VE15F088']","['AC17F058', 'AM18F020', 'AM18M078', 'DY10M048', 'ED06M117', 'ES11M099', 'FM08F039', 'GR14M119', 'JM08M048', 'JM14F039', 'JR15M119', 'SB12M048']","['AA04M058', 'AR15F039', 'CC05M088', 'CG10M058', 'EG12M048', 'EJ19F108', 'EP14F109', 'EU10F048', 'GH11M098', 'JC18M088', 'JE09M048', 'KW16F048', 'MC07M058', 'MF04F117', 'MG00M068', 'MG04F057', 'RH19M048']","['EB19M039', 'FA20M039', 'NA00M058', 'VO19M039']","['CS21M078', 'HE03F038', 'LH19M049', 'NW07M108', 'SL03F038', 'SS11F058', 'ZZ21M049']","['AF01F058', 'AL13F039', 'JH11M058', 'KB09F049', 'KH06F098', 'MG21M039', 'SS07F088', 'TS20M118']","['AR15F039', 'CS23F039', 'CW02F097', 'JM08M048', 'JR23M049', 'MD06M048', 'MW02M048', 'TR12M048', 'VP23F039']","['AB03F057', 'AJ14M058', 'AL06F098', 'AM18M078', 'AM22M088', 'AP15F088', 'BC21M088', 'BN14M098', 'CC05M088', 'CK19F088', 'CT21M048', 'DG12M048', 'EA22F108', 'EG12M048', 'EO04F018', 'ER17M078', 'ET09F058', 'FA20M039', 'GM18F049', 'HS13M087', 'JM14F039', 'JM14M58B', 'JM17M039', 'JO21M068', 'JS20M058', 'KV23F108', 'MA05M018', 'MK03M057', 'MS11F038', 'OO18F088', 'PI20F058', 'RL17M058', 'SP24F039', 'VA24M030', 'VE15F088', 'VL18F058']","['AW04M057', 'CG10M058', 'CS04F047', 'DR13M038', 'DY10M048', 'GG17M078', 'GH11M098', 'GS24F058', 'JE25F058', 'JO25M059', 'JV04M057', 'KH24F010', 'LG21M058', 'LK24F068', 'LP21M088', 'MC07M058', 'MF04F117', 'MM16M088', 'MV11M058', 'PR20F078', 'RA25M039', 'SL14F038', 'SM17F039', 'VG11F088']","['AA04M058', 'CA26M039', 'CD26M020', 'CS07F078', 'DY10M048', 'EG03F107', 'JE18M088', 'PA26M109', 'RA26F039']","['AL16F039', 'CF27F089', 'CS21M078', 'EU10F048', 'IC14F039', 'IR22M018', 'JM04F048', 'MD27F020', 'VG27F049']","['AG06M058', 'AP28F030', 'CW02F097', 'IC28M039', 'JM17M039', 'KG23F019', 'KW16F048', 'SM25F069', 'TS20M118']","['AG21M059', 'AM18M078', 'AS28F039', 'CE24M068', 'CS23F039', 'DG29F098', 'EC29F030', 'EM25F039', 'IA25F058', 'JO21M068', 'JS25M019', 'OO18F088', 'RH19M048', 'VE15F088']","['AA30F039', 'AO31F030', 'AS24M088', 'BN14M098', 'CF27F089', 'CR29M098', 'CS04F047', 'CT21M048', 'DS29M039', 'DV27M058', 'EB19M039', 'ED06M117', 'EV23F088', 'GS24F058', 'JM30F048', 'KV23F108', 'MB30M078', 'MK03M057', 'ML27F028', 'PI20F058', 'RA25M039', 'RI30M058', 'SM17F039', 'VP23F039', 'YT29F049']","['AJ14M058', 'AW04M057', 'BC21M088', 'CK19F088', 'CP31F088', 'CW02F097', 'DB31M030', 'EG31M049', 'EJ19F108', 'GM24F098', 'IR30M058', 'JV04M057', 'KG23F019', 'MA05M018', 'SS11F058', 'TM30M058', 'VG11F088']","['AL28F118', 'AP15F088', 'CV32M038', 'DY10M048', 'ER31F058', 'ET32F098', 'GB21M058', 'JH11M058', 'MS31F058', 'MV11M058', 'OF32F058', 'RA25M039', 'SW31F048', 'ZZ21M049']","['EC30M058', 'JS32F059', 'PR20F078']",['MK03M057'],['NR19F069'],['JV04M057']
carry,0.0,0.08,0.06,0.0,0.0,0.0,0.11,0.06,0.29,0.22,0.22,0.33,0.07,0.2,0.35,0.21,0.0,0.0,0.0,0.0
cat,0.0,0.42,0.41,0.25,0.14,0.5,0.56,0.53,0.71,0.78,0.56,0.78,0.71,0.8,0.76,0.86,0.67,1.0,1.0,0.0
catch,0.0,0.25,0.12,0.25,0.0,0.12,0.22,0.17,0.21,0.22,0.22,0.44,0.21,0.48,0.47,0.21,0.67,1.0,1.0,0.0
cereal,0.5,0.17,0.24,0.0,0.0,0.25,0.22,0.39,0.54,0.67,0.44,0.56,0.57,0.72,0.53,0.5,0.33,1.0,1.0,1.0
chair,0.0,0.17,0.18,0.25,0.0,0.25,0.33,0.28,0.58,0.22,0.56,0.44,0.29,0.84,0.71,0.71,0.67,1.0,1.0,0.0
chalk,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.06,0.08,0.0,0.0,0.22,0.0,0.32,0.29,0.21,0.0,1.0,0.0,0.0
chase,0.0,0.0,0.12,0.0,0.0,0.0,0.11,0.03,0.17,0.0,0.0,0.11,0.0,0.12,0.12,0.21,0.0,1.0,0.0,0.0
cheek,0.0,0.08,0.06,0.0,0.0,0.12,0.33,0.08,0.29,0.33,0.11,0.33,0.07,0.36,0.29,0.36,0.0,0.0,1.0,0.0
cheerios,0.5,0.25,0.18,0.25,0.14,0.12,0.33,0.36,0.5,0.44,0.33,0.44,0.71,0.8,0.65,0.5,1.0,0.0,1.0,1.0
cheese,0.5,0.25,0.29,0.25,0.0,0.12,0.22,0.56,0.62,0.56,0.22,0.78,0.64,0.84,0.71,0.64,0.33,1.0,1.0,1.0
chicken1,0.0,0.25,0.18,0.0,0.0,0.0,0.33,0.33,0.5,0.56,0.67,0.67,0.43,0.88,0.59,0.64,0.67,1.0,1.0,1.0
chicken2,0.0,0.17,0.18,0.0,0.0,0.12,0.33,0.28,0.58,0.56,0.56,0.78,0.64,0.84,0.65,0.79,0.67,1.0,1.0,1.0
child,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.22,0.11,0.0,0.04,0.12,0.07,0.0,0.0,1.0,0.0
children,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.11,0.22,0.07,0.16,0.18,0.07,0.0,0.0,0.0,0.0
childrns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.0,0.0,0.0
childs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
chin,0.0,0.08,0.0,0.25,0.0,0.12,0.22,0.08,0.21,0.22,0.22,0.33,0.07,0.32,0.18,0.21,0.0,0.0,1.0,0.0
chocolat,1.0,0.0,0.12,0.25,0.0,0.0,0.22,0.39,0.25,0.11,0.44,0.56,0.64,0.64,0.65,0.57,0.67,1.0,1.0,0.0
choochoo,0.0,0.42,0.35,0.25,0.43,0.25,0.78,0.42,0.79,0.67,0.56,0.67,0.57,0.8,0.65,0.64,1.0,1.0,1.0,1.0
church,0.0,0.08,0.06,0.25,0.0,0.0,0.33,0.14,0.21,0.11,0.22,0.44,0.14,0.6,0.53,0.36,0.0,1.0,1.0,0.0
circus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.11,0.11,0.07,0.2,0.35,0.21,0.33,0.0,1.0,1.0
clap,0.0,0.08,0.18,0.0,0.0,0.12,0.22,0.08,0.21,0.22,0.11,0.22,0.21,0.4,0.35,0.36,0.0,1.0,1.0,0.0
clean1,0.0,0.17,0.12,0.0,0.0,0.25,0.22,0.22,0.42,0.33,0.33,0.44,0.21,0.56,0.53,0.43,0.33,1.0,1.0,1.0
clean2,0.0,0.17,0.12,0.0,0.0,0.12,0.33,0.22,0.42,0.33,0.22,0.33,0.21,0.44,0.59,0.5,0.33,0.0,1.0,0.0
climb,0.0,0.0,0.06,0.0,0.0,0.12,0.0,0.06,0.17,0.0,0.0,0.22,0.07,0.24,0.12,0.14,0.0,1.0,0.0,0.0
clock,0.0,0.08,0.12,0.0,0.14,0.12,0.22,0.17,0.29,0.22,0.11,0.44,0.29,0.36,0.41,0.36,0.33,1.0,1.0,0.0
close,0.5,0.08,0.12,0.25,0.0,0.38,0.33,0.17,0.33,0.22,0.44,0.44,0.21,0.48,0.35,0.36,0.33,0.0,1.0,0.0
closet,0.0,0.08,0.0,0.25,0.0,0.0,0.11,0.19,0.29,0.11,0.33,0.56,0.43,0.56,0.41,0.43,0.0,1.0,1.0,0.0
cloud,0.5,0.08,0.0,0.0,0.0,0.0,0.11,0.11,0.25,0.11,0.0,0.33,0.21,0.28,0.24,0.29,0.33,1.0,1.0,0.0
clown,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.06,0.12,0.0,0.22,0.33,0.07,0.28,0.24,0.43,0.0,1.0,1.0,0.0
coat,0.0,0.17,0.0,0.0,0.0,0.12,0.33,0.08,0.21,0.33,0.11,0.22,0.21,0.36,0.29,0.43,0.0,1.0,0.0,0.0
cockddld,0.0,0.17,0.12,0.0,0.0,0.12,0.11,0.14,0.21,0.11,0.22,0.22,0.0,0.2,0.24,0.36,0.0,0.0,0.0,0.0
coffee,0.0,0.0,0.12,0.0,0.0,0.12,0.22,0.17,0.29,0.0,0.11,0.33,0.07,0.52,0.35,0.36,0.33,1.0,1.0,1.0
coke,0.0,0.25,0.24,0.25,0.0,0.38,0.44,0.42,0.5,0.67,0.33,0.78,0.36,0.76,0.76,0.64,0.67,0.0,1.0,1.0
cold,0.5,0.33,0.18,0.0,0.14,0.38,0.44,0.31,0.67,0.56,0.56,0.56,0.29,0.76,0.76,0.64,0.33,1.0,1.0,0.0
comb,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.06,0.12,0.0,0.0,0.44,0.0,0.16,0.29,0.21,0.0,0.0,0.0,0.0
combine,0.0,0.33,0.35,0.25,0.14,0.62,0.56,0.58,0.75,0.67,0.44,0.56,0.43,0.76,0.82,0.86,0.33,1.0,1.0,1.0
comed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complx01,0.0,0.08,0.06,0.0,0.0,0.0,0.33,0.19,0.5,0.11,0.11,0.33,0.21,0.44,0.35,0.43,0.0,1.0,0.0,0.0
complx02,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.17,0.22,0.11,0.22,0.07,0.36,0.29,0.43,0.0,1.0,1.0,0.0
complx03,0.0,0.08,0.0,0.0,0.0,0.0,0.33,0.06,0.38,0.33,0.33,0.33,0.0,0.52,0.53,0.43,0.0,0.0,0.0,0.0
complx04,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.14,0.25,0.33,0.0,0.33,0.07,0.44,0.41,0.36,0.33,1.0,1.0,0.0
complx05,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.12,0.11,0.0,0.22,0.07,0.24,0.24,0.21,0.0,1.0,0.0,0.0
complx06,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.08,0.0,0.11,0.11,0.0,0.2,0.06,0.36,0.0,0.0,0.0,0.0
complx07,0.0,0.17,0.0,0.0,0.0,0.12,0.11,0.17,0.25,0.33,0.33,0.33,0.14,0.6,0.59,0.5,0.33,1.0,1.0,1.0
complx08,0.0,0.08,0.06,0.0,0.0,0.12,0.22,0.08,0.33,0.33,0.11,0.22,0.07,0.44,0.35,0.29,0.0,1.0,1.0,0.0
complx09,0.0,0.08,0.0,0.0,0.0,0.0,0.22,0.14,0.17,0.33,0.11,0.33,0.0,0.36,0.18,0.36,0.33,0.0,1.0,0.0
complx10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.0,0.16,0.18,0.14,0.0,0.0,0.0,0.0
complx11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.08,0.24,0.0,0.33,0.0,0.0,0.0
complx12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.08,0.12,0.14,0.0,0.0,0.0,0.0
complx13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.0,0.11,0.22,0.14,0.36,0.29,0.29,0.0,1.0,0.0,0.0
complx14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.11,0.11,0.33,0.07,0.48,0.35,0.36,0.0,0.0,0.0,1.0
complx15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.22,0.0,0.24,0.18,0.29,0.33,0.0,0.0,0.0
complx16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.16,0.06,0.29,0.0,0.0,0.0,0.0
complx17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.11,0.07,0.24,0.18,0.29,0.0,0.0,0.0,0.0
complx18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.0,0.0,0.11,0.0,0.2,0.24,0.14,0.0,1.0,0.0,0.0
complx19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.25,0.11,0.22,0.11,0.07,0.16,0.12,0.29,0.0,1.0,0.0,0.0
complx20,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.11,0.0,0.33,0.14,0.4,0.29,0.36,0.0,0.0,0.0,0.0
complx21,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.11,0.11,0.22,0.07,0.36,0.29,0.29,0.0,1.0,0.0,0.0
complx22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.22,0.0,0.24,0.12,0.29,0.0,0.0,0.0,0.0
complx23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.11,0.14,0.2,0.24,0.36,0.0,0.0,0.0,0.0
complx24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.22,0.11,0.22,0.14,0.24,0.24,0.36,0.33,1.0,1.0,0.0
complx25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.11,0.0,0.2,0.12,0.29,0.0,0.0,0.0,0.0
complx26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.11,0.07,0.2,0.18,0.21,0.0,1.0,0.0,0.0
complx27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.14,0.0,0.0,0.0,0.0
complx28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.12,0.12,0.21,0.0,0.0,0.0,0.0
complx29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0.11,0.0,0.24,0.24,0.36,0.0,1.0,0.0,0.0
complx30,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.12,0.11,0.0,0.22,0.07,0.28,0.24,0.36,0.0,1.0,0.0,0.0
complx31,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.17,0.11,0.0,0.22,0.07,0.28,0.18,0.21,0.0,1.0,0.0,0.0
complx32,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.12,0.11,0.11,0.11,0.0,0.28,0.18,0.36,0.0,0.0,0.0,0.0
complx33,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.08,0.0,0.0,0.22,0.07,0.16,0.18,0.36,0.0,1.0,0.0,0.0
complx34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.07,0.0,0.0,0.0,0.0
complx35,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.04,0.0,0.0,0.22,0.0,0.04,0.06,0.36,0.0,1.0,0.0,0.0
complx36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.16,0.18,0.14,0.0,0.0,0.0,0.0
complx37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.22,0.0,0.16,0.12,0.07,0.0,1.0,0.0,0.0
cook,0.0,0.0,0.06,0.0,0.0,0.12,0.11,0.08,0.29,0.11,0.22,0.33,0.07,0.4,0.35,0.21,0.0,0.0,1.0,0.0
cookie,1.0,0.58,0.41,0.5,0.43,0.75,0.56,0.75,0.88,0.89,0.67,0.89,0.86,0.96,0.88,0.79,1.0,1.0,1.0,1.0
corn,0.0,0.08,0.29,0.0,0.0,0.12,0.56,0.08,0.42,0.22,0.33,0.44,0.21,0.56,0.41,0.21,0.33,0.0,1.0,1.0
couch,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.08,0.33,0.33,0.33,0.33,0.07,0.24,0.35,0.29,0.0,1.0,0.0,0.0
could,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.11,0.0,0.04,0.0,0.14,0.0,0.0,0.0,0.0
country,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.04,0.0,0.07,0.0,0.0,0.0,0.0
cover,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.03,0.21,0.11,0.11,0.22,0.0,0.12,0.18,0.29,0.0,0.0,1.0,0.0
cow,0.5,0.17,0.47,0.0,0.14,0.25,0.44,0.31,0.46,0.33,0.44,0.67,0.43,0.76,0.65,0.5,0.67,1.0,1.0,1.0
cowboy,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.03,0.17,0.0,0.0,0.11,0.07,0.12,0.29,0.29,0.0,1.0,0.0,0.0
cracker,0.0,0.33,0.24,0.0,0.14,0.25,0.44,0.17,0.46,0.33,0.56,0.33,0.21,0.48,0.47,0.36,0.33,1.0,0.0,1.0
crayon,0.0,0.17,0.06,0.0,0.0,0.25,0.22,0.22,0.33,0.33,0.44,0.56,0.57,0.6,0.53,0.5,0.0,1.0,0.0,0.0
crib,0.0,0.0,0.06,0.0,0.0,0.0,0.22,0.03,0.25,0.0,0.0,0.22,0.07,0.2,0.29,0.07,0.0,0.0,0.0,0.0
cry,0.0,0.25,0.18,0.25,0.0,0.25,0.33,0.11,0.46,0.33,0.33,0.33,0.14,0.6,0.71,0.43,0.33,1.0,1.0,0.0
cup,0.0,0.25,0.12,0.0,0.14,0.38,0.33,0.25,0.62,0.33,0.44,0.44,0.21,0.64,0.71,0.79,0.33,1.0,1.0,0.0
cut,0.5,0.0,0.06,0.0,0.0,0.0,0.11,0.06,0.25,0.0,0.22,0.33,0.07,0.32,0.35,0.43,0.0,1.0,1.0,0.0
cute,0.0,0.17,0.0,0.0,0.0,0.12,0.0,0.08,0.25,0.11,0.0,0.22,0.14,0.32,0.18,0.29,0.33,1.0,1.0,0.0
daddy,0.5,0.75,0.59,0.5,0.71,0.75,0.67,0.83,0.71,0.56,0.78,0.56,0.64,0.88,0.88,0.86,0.67,1.0,1.0,0.0
dance,0.0,0.0,0.18,0.25,0.0,0.12,0.44,0.19,0.46,0.33,0.22,0.44,0.36,0.56,0.59,0.5,0.33,1.0,0.0,0.0
dark,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.12,0.0,0.22,0.33,0.0,0.12,0.24,0.43,0.33,0.0,1.0,0.0
day,0.5,0.0,0.0,0.0,0.0,0.0,0.11,0.14,0.17,0.0,0.33,0.22,0.29,0.24,0.24,0.21,0.0,0.0,0.0,0.0
deer,0.0,0.08,0.18,0.0,0.14,0.0,0.0,0.0,0.12,0.0,0.0,0.22,0.07,0.24,0.18,0.21,0.33,0.0,1.0,0.0
diaper,0.0,0.58,0.24,0.0,0.29,0.38,0.56,0.33,0.67,0.44,0.56,0.56,0.64,0.8,0.53,0.57,0.33,1.0,1.0,0.0
did,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.03,0.12,0.0,0.11,0.22,0.0,0.2,0.12,0.5,0.0,0.0,0.0,0.0
dinner,0.0,0.0,0.0,0.0,0.0,0.25,0.11,0.06,0.12,0.22,0.22,0.33,0.07,0.2,0.35,0.21,0.0,1.0,1.0,0.0
dirty,0.0,0.17,0.06,0.0,0.14,0.12,0.33,0.19,0.42,0.11,0.44,0.44,0.21,0.56,0.53,0.64,0.33,1.0,1.0,0.0
dish,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.08,0.04,0.0,0.11,0.44,0.07,0.12,0.24,0.29,0.0,0.0,0.0,0.0
do,0.0,0.0,0.06,0.0,0.0,0.12,0.33,0.08,0.25,0.11,0.22,0.22,0.0,0.24,0.29,0.43,0.0,0.0,0.0,0.0
doctor,0.0,0.08,0.06,0.0,0.0,0.0,0.22,0.17,0.25,0.0,0.33,0.67,0.36,0.64,0.59,0.64,0.33,1.0,1.0,1.0
doed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.11,0.11,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
does,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,0.22,0.0,0.12,0.06,0.21,0.0,0.0,0.0,0.0
dog,0.5,0.58,0.59,0.25,0.43,0.75,0.56,0.69,0.67,0.78,0.89,0.78,0.86,0.92,0.88,0.86,0.67,1.0,1.0,0.0
doll,0.0,0.33,0.12,0.0,0.0,0.0,0.22,0.14,0.21,0.22,0.33,0.44,0.21,0.52,0.35,0.43,0.33,1.0,0.0,0.0
donkey,0.0,0.08,0.06,0.25,0.0,0.0,0.33,0.08,0.04,0.11,0.22,0.44,0.14,0.2,0.18,0.29,0.67,0.0,0.0,0.0
dont,0.0,0.17,0.06,0.0,0.0,0.0,0.22,0.17,0.17,0.22,0.22,0.22,0.21,0.36,0.24,0.29,0.0,1.0,1.0,1.0
donut,0.0,0.0,0.06,0.0,0.0,0.0,0.11,0.06,0.12,0.22,0.22,0.33,0.07,0.56,0.41,0.43,0.0,1.0,1.0,1.0
door,0.0,0.42,0.18,0.25,0.29,0.38,0.56,0.47,0.58,0.56,0.78,0.67,0.5,0.76,0.76,0.71,0.67,1.0,1.0,1.0
down,0.0,0.5,0.18,0.0,0.14,0.25,0.44,0.25,0.54,0.11,0.56,0.44,0.21,0.44,0.47,0.64,0.33,0.0,1.0,0.0
downtown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,0.11,0.0,0.04,0.06,0.07,0.0,0.0,0.0,0.0
drank,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.11,0.22,0.07,0.08,0.06,0.29,0.0,0.0,0.0,0.0
dranked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.11,0.0,0.04,0.06,0.0,0.0,1.0,0.0,0.0
draw,0.0,0.0,0.12,0.0,0.0,0.0,0.11,0.11,0.33,0.0,0.22,0.22,0.07,0.16,0.29,0.21,0.0,0.0,1.0,0.0
drawer,0.0,0.0,0.06,0.0,0.0,0.12,0.0,0.06,0.12,0.11,0.0,0.22,0.0,0.12,0.18,0.21,0.0,1.0,0.0,0.0
dress,0.0,0.08,0.06,0.0,0.0,0.0,0.11,0.11,0.12,0.22,0.22,0.44,0.07,0.48,0.29,0.21,0.0,1.0,1.0,0.0
drink1,0.0,0.17,0.12,0.0,0.0,0.25,0.33,0.11,0.5,0.33,0.56,0.33,0.14,0.52,0.41,0.29,0.33,1.0,1.0,0.0
drink2,0.0,0.08,0.18,0.0,0.0,0.25,0.44,0.17,0.46,0.22,0.44,0.44,0.36,0.64,0.59,0.36,0.0,1.0,1.0,0.0
drinked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.11,0.07,0.08,0.12,0.07,0.33,1.0,0.0,0.0
drive,0.0,0.0,0.06,0.25,0.0,0.12,0.33,0.06,0.17,0.0,0.22,0.33,0.07,0.36,0.35,0.21,0.0,1.0,1.0,0.0
drop,0.0,0.08,0.06,0.0,0.0,0.0,0.22,0.06,0.25,0.11,0.11,0.22,0.07,0.2,0.24,0.21,0.0,0.0,0.0,0.0
drove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.14,0.0,0.0,0.0,0.0
dry1,0.0,0.0,0.06,0.0,0.0,0.0,0.22,0.06,0.04,0.0,0.11,0.44,0.0,0.08,0.24,0.14,0.0,0.0,0.0,0.0
dry2,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.08,0.12,0.0,0.11,0.44,0.0,0.16,0.29,0.21,0.0,1.0,0.0,0.0
dryer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.11,0.0,0.33,0.0,0.16,0.29,0.21,0.0,1.0,0.0,0.0
duck,0.5,0.42,0.24,0.5,0.29,0.5,0.33,0.36,0.5,0.44,0.67,0.67,0.64,0.84,0.59,0.57,0.67,1.0,1.0,0.0
dump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.11,0.33,0.0,0.08,0.06,0.07,0.0,0.0,0.0,0.0
each,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.11,0.22,0.0,0.04,0.12,0.21,0.0,0.0,0.0,0.0
ear,0.0,0.5,0.35,0.25,0.0,0.5,0.56,0.42,0.67,0.44,0.44,0.67,0.36,0.72,0.71,0.79,0.33,1.0,1.0,0.0
eat,0.0,0.25,0.35,0.0,0.0,0.25,0.44,0.22,0.54,0.44,0.44,0.44,0.43,0.64,0.71,0.5,0.33,1.0,1.0,0.0
eated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.22,0.0,0.07,0.04,0.0,0.07,0.0,0.0,0.0,0.0
ed,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.21,0.11,0.11,0.22,0.07,0.32,0.12,0.5,0.0,1.0,0.0,1.0
egg,0.0,0.08,0.12,0.25,0.0,0.12,0.22,0.17,0.33,0.22,0.22,0.44,0.43,0.48,0.53,0.64,0.33,1.0,1.0,0.0
elephant,0.0,0.17,0.18,0.25,0.0,0.0,0.22,0.22,0.46,0.22,0.44,0.56,0.43,0.68,0.59,0.71,0.67,1.0,1.0,1.0
empty,0.0,0.0,0.06,0.25,0.0,0.0,0.22,0.06,0.12,0.0,0.22,0.33,0.0,0.16,0.24,0.14,0.33,1.0,1.0,0.0
every,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,0.22,0.0,0.04,0.12,0.14,0.0,0.0,0.0,0.0
eye,0.0,0.67,0.41,0.25,0.43,0.62,0.56,0.53,0.67,0.56,0.78,0.78,0.5,0.92,0.82,0.71,0.33,1.0,1.0,0.0
face,0.0,0.33,0.06,0.0,0.0,0.25,0.44,0.22,0.29,0.33,0.33,0.44,0.57,0.68,0.53,0.64,0.0,1.0,1.0,0.0
fall,0.0,0.08,0.06,0.0,0.0,0.25,0.22,0.11,0.42,0.22,0.33,0.33,0.14,0.4,0.41,0.43,0.33,1.0,0.0,0.0
falled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.11,0.07,0.04,0.06,0.07,0.0,0.0,0.0,0.0
farm,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.03,0.12,0.11,0.11,0.33,0.14,0.12,0.29,0.14,0.0,0.0,0.0,0.0
fast,0.0,0.08,0.0,0.0,0.0,0.12,0.22,0.03,0.25,0.0,0.11,0.44,0.07,0.28,0.18,0.36,0.0,1.0,0.0,0.0
feed,0.0,0.0,0.12,0.0,0.0,0.0,0.11,0.03,0.25,0.0,0.11,0.22,0.0,0.08,0.18,0.21,0.0,0.0,0.0,0.0
